seed,lr_a,lr_b,epoch,cka,comparison_type
1,0.05,0.1,120,0.8616071264007772,seed_matched_cross_lr_same_epoch
1,0.05,0.1,130,0.8335318528286321,seed_matched_cross_lr_same_epoch
1,0.05,0.1,140,0.8639865980577558,seed_matched_cross_lr_same_epoch
1,0.05,0.1,150,0.8678722565319582,seed_matched_cross_lr_same_epoch
1,0.05,0.1,160,0.8956813356384837,seed_matched_cross_lr_same_epoch
1,0.05,0.1,170,0.9360354530080157,seed_matched_cross_lr_same_epoch
1,0.05,0.1,180,0.9502693041745693,seed_matched_cross_lr_same_epoch
1,0.05,0.1,190,0.956035918423178,seed_matched_cross_lr_same_epoch
1,0.05,0.1,200,0.9562662052478349,seed_matched_cross_lr_same_epoch
1,0.05,0.2,0,1.0,seed_matched_cross_lr_same_epoch
1,0.05,0.2,1,0.6838594715571582,seed_matched_cross_lr_same_epoch
1,0.05,0.2,2,0.6105359756024911,seed_matched_cross_lr_same_epoch
1,0.05,0.2,3,0.6708100665568153,seed_matched_cross_lr_same_epoch
1,0.05,0.2,4,0.7337913507888741,seed_matched_cross_lr_same_epoch
1,0.05,0.2,5,0.8051205468315858,seed_matched_cross_lr_same_epoch
1,0.05,0.2,6,0.8632958981125148,seed_matched_cross_lr_same_epoch
1,0.05,0.2,7,0.813512390613047,seed_matched_cross_lr_same_epoch
1,0.05,0.2,8,0.8393071166781939,seed_matched_cross_lr_same_epoch
1,0.05,0.2,9,0.8220203745858308,seed_matched_cross_lr_same_epoch
1,0.05,0.2,10,0.827914374022819,seed_matched_cross_lr_same_epoch
1,0.05,0.2,11,0.8336004805744983,seed_matched_cross_lr_same_epoch
1,0.05,0.2,12,0.8488837750921824,seed_matched_cross_lr_same_epoch
1,0.05,0.2,13,0.788021712920031,seed_matched_cross_lr_same_epoch
1,0.05,0.2,14,0.8294762066574055,seed_matched_cross_lr_same_epoch
1,0.05,0.2,15,0.7899712112316938,seed_matched_cross_lr_same_epoch
1,0.05,0.2,16,0.8494982259794266,seed_matched_cross_lr_same_epoch
1,0.05,0.2,17,0.8096115350543434,seed_matched_cross_lr_same_epoch
1,0.05,0.2,18,0.7982712210603273,seed_matched_cross_lr_same_epoch
1,0.05,0.2,19,0.8256573823045078,seed_matched_cross_lr_same_epoch
1,0.05,0.2,20,0.8340991296983269,seed_matched_cross_lr_same_epoch
1,0.05,0.2,22,0.7923650557649988,seed_matched_cross_lr_same_epoch
1,0.05,0.2,24,0.7959797312628513,seed_matched_cross_lr_same_epoch
1,0.05,0.2,26,0.8016525305986986,seed_matched_cross_lr_same_epoch
1,0.05,0.2,28,0.8123039580646984,seed_matched_cross_lr_same_epoch
1,0.05,0.2,30,0.7207853925866256,seed_matched_cross_lr_same_epoch
1,0.05,0.2,35,0.7979433213632289,seed_matched_cross_lr_same_epoch
1,0.05,0.2,40,0.7807208866193023,seed_matched_cross_lr_same_epoch
1,0.05,0.2,45,0.7501743929295079,seed_matched_cross_lr_same_epoch
1,0.05,0.2,50,0.760526441195031,seed_matched_cross_lr_same_epoch
1,0.05,0.2,60,0.7743528557608949,seed_matched_cross_lr_same_epoch
1,0.05,0.2,70,0.7664265925747534,seed_matched_cross_lr_same_epoch
1,0.05,0.2,80,0.7365571576903887,seed_matched_cross_lr_same_epoch
1,0.05,0.2,90,0.7518691240852705,seed_matched_cross_lr_same_epoch
