epoch_a,epoch_b,n_samples,cka_value
15,22,2040,0.835974
15,24,2040,0.830181
15,26,2040,0.777345
15,28,2040,0.74775
15,30,2040,0.806572
15,35,2040,0.740553
15,40,2040,0.68454
15,45,2040,0.793675
15,50,2040,0.817343
15,60,2040,0.747611
15,70,2040,0.773223
15,80,2040,0.735017
15,90,2040,0.721483
15,100,2040,0.773031
15,110,2040,0.759589
15,120,2040,0.73189
15,130,2040,0.686333
15,140,2040,0.729335
15,150,2040,0.668965
15,160,2040,0.664492
15,170,2040,0.671489
15,180,2040,0.682086
15,190,2040,0.678118
15,200,2040,0.683205
16,16,2040,1.0
16,17,2040,0.787701
16,18,2040,0.810621
16,19,2040,0.795713
16,20,2040,0.819685
16,22,2040,0.798845
16,24,2040,0.790512
16,26,2040,0.804655
16,28,2040,0.808611
16,30,2040,0.710066
16,35,2040,0.800395
16,40,2040,0.764603
16,45,2040,0.806913
16,50,2040,0.758733
16,60,2040,0.823175
16,70,2040,0.80099
16,80,2040,0.802952
16,90,2040,0.806306
16,100,2040,0.783926
16,110,2040,0.811133
16,120,2040,0.78866
16,130,2040,0.746603
16,140,2040,0.74417
16,150,2040,0.72215
16,160,2040,0.712943
16,170,2040,0.706197
16,180,2040,0.71546
16,190,2040,0.717032
16,200,2040,0.719106
17,17,2040,1.0
17,18,2040,0.850788
17,19,2040,0.816148
17,20,2040,0.789416
17,22,2040,0.801124
17,24,2040,0.806956
17,26,2040,0.835604
17,28,2040,0.82511
17,30,2040,0.792558
17,35,2040,0.758329
17,40,2040,0.806747
17,45,2040,0.825246
17,50,2040,0.782967
17,60,2040,0.811731
17,70,2040,0.782538
17,80,2040,0.805139
17,90,2040,0.804311
17,100,2040,0.813577
17,110,2040,0.770669
17,120,2040,0.744622
17,130,2040,0.737468
17,140,2040,0.72718
17,150,2040,0.692707
17,160,2040,0.697276
17,170,2040,0.697648
17,180,2040,0.71009
17,190,2040,0.710723
17,200,2040,0.715019
18,18,2040,1.0
18,19,2040,0.820389
18,20,2040,0.821244
18,22,2040,0.809919
18,24,2040,0.798179
18,26,2040,0.841366
18,28,2040,0.843931
18,30,2040,0.743643
18,35,2040,0.792686
18,40,2040,0.816862
18,45,2040,0.820225
18,50,2040,0.782248
18,60,2040,0.813587
18,70,2040,0.80228
18,80,2040,0.823295
18,90,2040,0.820672
18,100,2040,0.80643
18,110,2040,0.801899
18,120,2040,0.762014
18,130,2040,0.747629
18,140,2040,0.745671
18,150,2040,0.721483
18,160,2040,0.720619
18,170,2040,0.719285
18,180,2040,0.728069
18,190,2040,0.730242
18,200,2040,0.732413
19,19,2040,1.0
19,20,2040,0.8133
19,22,2040,0.794184
19,24,2040,0.815503
19,26,2040,0.82482
19,28,2040,0.829824
19,30,2040,0.753359
19,35,2040,0.772059
19,40,2040,0.735432
19,45,2040,0.815844
19,50,2040,0.785142
19,60,2040,0.810156
19,70,2040,0.821098
19,80,2040,0.781249
19,90,2040,0.782742
19,100,2040,0.780547
19,110,2040,0.788816
19,120,2040,0.784734
19,130,2040,0.747195
19,140,2040,0.754176
19,150,2040,0.728968
19,160,2040,0.723261
19,170,2040,0.723736
19,180,2040,0.726875
19,190,2040,0.730716
19,200,2040,0.732594
20,20,2040,1.0
20,22,2040,0.78966
20,24,2040,0.770071
20,26,2040,0.790392
20,28,2040,0.838374
20,30,2040,0.670297
20,35,2040,0.812748
20,40,2040,0.798734
20,45,2040,0.799953
20,50,2040,0.741343
20,60,2040,0.813088
20,70,2040,0.797626
20,80,2040,0.835588
20,90,2040,0.823848
20,100,2040,0.762735
20,110,2040,0.784837
20,120,2040,0.760699
20,130,2040,0.741768
20,140,2040,0.724261
20,150,2040,0.699541
20,160,2040,0.698318
20,170,2040,0.692677
20,180,2040,0.701355
20,190,2040,0.702353
20,200,2040,0.705551
22,22,2040,1.0
22,24,2040,0.840714
22,26,2040,0.800758
22,28,2040,0.819835
22,30,2040,0.777947
22,35,2040,0.812683
22,40,2040,0.745075
22,45,2040,0.813148
22,50,2040,0.810481
22,60,2040,0.784239
22,70,2040,0.79969
22,80,2040,0.791872
22,90,2040,0.776264
22,100,2040,0.809255
22,110,2040,0.803897
22,120,2040,0.75155
22,130,2040,0.726758
22,140,2040,0.752074
22,150,2040,0.716044
22,160,2040,0.708739
22,170,2040,0.707317
22,180,2040,0.716628
22,190,2040,0.716099
22,200,2040,0.718521
24,24,2040,1.0
24,26,2040,0.823052
24,28,2040,0.802245
24,30,2040,0.776979
24,35,2040,0.766169
24,40,2040,0.747433
24,45,2040,0.818211
24,50,2040,0.823389
24,60,2040,0.775326
24,70,2040,0.803317
24,80,2040,0.789845
24,90,2040,0.78063
24,100,2040,0.80746
24,110,2040,0.792736
24,120,2040,0.746687
24,130,2040,0.723839
24,140,2040,0.749196
24,150,2040,0.710225
24,160,2040,0.695691
24,170,2040,0.710152
24,180,2040,0.716508
24,190,2040,0.717966
24,200,2040,0.721484
26,26,2040,1.0
26,28,2040,0.825387
26,30,2040,0.745637
26,35,2040,0.771592
26,40,2040,0.773489
26,45,2040,0.814749
26,50,2040,0.805813
26,60,2040,0.794348
26,70,2040,0.795963
26,80,2040,0.806546
26,90,2040,0.789134
26,100,2040,0.807423
26,110,2040,0.803989
26,120,2040,0.764675
26,130,2040,0.754292
26,140,2040,0.751755
26,150,2040,0.73421
26,160,2040,0.717538
26,170,2040,0.72753
